Цикл;Том;Код раздела;Уникальный код раздела;Название раздела;Глава;Код дглавы;Уникальный код главы;Название главы;Номер параграфа;Название параграфа;Пункты (с-по)
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.1;О бесконечности Мироздания и Ииссиидиологии, которая призвана в корне изменить  наши взгляды;10001-10006
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.2;Иллюзия нашей системы Восприятия. Инерция мышления – тормоз эволюции;10007-10016
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.3;Выход из Иллюзии – это очень деликатный баланс осознанных Выборов;10017-10023
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.4;Понятие истинного Бессмертия. Необходимость трансформации Сознания;10024-10038
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.5;Самосознание не продукт функционирования мозга, а тело не есть личность;10039-10044
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.6;Бессмертие, коллективная Мечта, Духовная Цель, Желание Бессмертия, Любовь к Жизни;10045-10059
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.7;Влияние психических состояний на физиологическое Бессмертие;10060-10068
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.8;В каких Мирах и для чего нужен механизм «Смерти»;10069-10077
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.9;Изначальная Миссия Человечества. Смена человеческих формаций;10078-10096
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 1. Понятие Бессмертия. Миссия Человечества;Глава 1;БДК / Раздел I / Глава 1;Понятие Бессмертия. Миссия Человечества;10.1.1.10;Преодоление страха «Смерти».  Устремление стать Творцом;10097-10107
БДК;Том 10;Раздел I;БДК / Раздел I; Основополагающие Принципы Бессмертия в системе «личностного» Восприятия;Глава 2. Понятия «Фокусов»;Глава 2;БДК / Раздел I / Глава 2;Понятия «Фокусов»;10.1.2.1;«Рождение» и «Смерть» - два ноовременных факторы;10108-10109
